Ref,Val,Package,PosX,PosY,Rot,Side
"C11","GKG30015","GKG30015",149.150000,-72.335000,-90.000000,bottom
"C16","100p","C_1206_3216Metric",166.650000,-104.860000,-90.000000,bottom
"C20","2.2uF","C_1206_3216Metric",160.650000,-68.310000,-90.000000,bottom
"C21","1uF","C_1206_3216Metric",168.150000,-70.810000,-90.000000,bottom
"C22","2.2uF","C_1206_3216Metric",162.175000,-72.000000,180.000000,bottom
"D2","LED","LED_D5.0mm",154.400000,-95.072500,90.000000,bottom
"J1","Conn_Coaxial","BNC_Amphenol_B6252HB-NPP3G-50_Horizontal",120.500000,-102.100000,0.000000,bottom
"J2","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical",149.100000,-87.475000,0.000000,bottom
"R15","3k3","R_1206_3216Metric",162.687500,-103.335000,180.000000,bottom
"S1","100DP2T1B1M2QEH","100DP2T1B1M2QEH",96.740000,-99.480000,0.000000,bottom
"S2","100DP2T1B1M2QEH","100DP2T1B1M2QEH",96.740000,-85.090000,0.000000,bottom
"S3","SLW-2414894-6A-RA-S-D","SW_SLW-2414894-6A-RA-S-D",131.150000,-71.260000,0.000000,bottom
"U1","TL082","DIP-8_W7.62mm",156.030000,-81.215000,-90.000000,bottom
"U3","LM2776","SOT-23-6",164.787500,-68.835000,0.000000,bottom
"U4","ESP32-DevKitC","ESP32-DevKitC",170.450000,-112.730000,0.000000,bottom
"C1","150nF","C_1206_3216Metric",110.690000,-96.475000,90.000000,top
"C2","18pF","C_1206_3216Metric",110.770000,-82.725000,90.000000,top
"C3","680pF","C_1206_3216Metric",113.525000,-88.750000,180.000000,top
"C4","18pF","C_1206_3216Metric",113.525000,-91.250000,180.000000,top
"C5","18pF","C_1206_3216Metric",132.750000,-71.250000,-90.000000,top
"C6","6.8pF","C_1206_3216Metric",125.462500,-85.260000,180.000000,top
"C7","1pF","C_1206_3216Metric",125.462500,-87.760000,180.000000,top
"C8","82pF","C_1206_3216Metric",133.125000,-85.260000,180.000000,top
"C9","220pF","C_1206_3216Metric",140.300000,-85.260000,0.000000,top
"C10","47pF","C_1206_3216Metric",140.300000,-87.760000,0.000000,top
"C12","68pF","C_1206_3216Metric",157.185000,-75.750000,180.000000,top
"C13","1pF","C_1206_3216Metric",157.165000,-73.000000,180.000000,top
"C14","100pF","C_1206_3216Metric",161.975000,-71.500000,180.000000,top
"C15","68pF","C_1206_3216Metric",162.225000,-84.860000,-90.000000,top
"C17","1uF","C_1206_3216Metric",167.750000,-79.870000,0.000000,top
"C18","10nF","C_1206_3216Metric",167.700000,-77.370000,0.000000,top
"C19","10nF","C_1206_3216Metric",162.650000,-94.835000,0.000000,top
"C23","100nF","C_1206_3216Metric",167.650000,-66.835000,180.000000,top
"D1","BAT54CW","SOT-323_SC-70",162.650000,-99.335000,-90.000000,top
"IC1","ADS7884SDBVT","SOT95P280X145-6N",167.900000,-83.320000,0.000000,top
"R1","1.5M","R_1206_3216Metric",113.270000,-82.662500,-90.000000,top
"R2","39k","R_1206_3216Metric",113.562500,-86.250000,180.000000,top
"R3","1.3M","R_1206_3216Metric",119.150000,-80.722500,-90.000000,top
"R4","910k","R_1206_3216Metric",125.525000,-79.760000,180.000000,top
"R5","590k","R_1206_3216Metric",125.400000,-82.760000,180.000000,top
"R6","910k","R_1206_3216Metric",133.150000,-79.760000,180.000000,top
"R7","160k","R_1206_3216Metric",133.062500,-82.760000,180.000000,top
"R8","1.3M","R_1206_3216Metric",140.112500,-79.760000,0.000000,top
"R9","82k","R_1206_3216Metric",140.287500,-82.760000,0.000000,top
"R10","330k","R_1206_3216Metric",157.200000,-78.530000,0.000000,top
"R11","1M","R_1206_3216Metric",162.000000,-77.000000,0.000000,top
"R12","12k","R_1206_3216Metric",162.037500,-74.250000,0.000000,top
"R13","270k","R_1206_3216Metric",167.762500,-74.300000,0.000000,top
"R14","680R","R_1206_3216Metric",158.187500,-83.835000,180.000000,top
"R16","0R","R_1206_3216Metric",183.000000,-89.000000,-90.000000,top
"R17","15k","R_1206_3216Metric",176.537500,-97.250000,180.000000,top
"R18","6k8","R_1206_3216Metric",178.075000,-93.675000,90.000000,top
"R19","1.3M","R_1206_3216Metric",162.650000,-91.335000,0.000000,top
"R20","33k","R_1206_3216Metric",165.650000,-99.872500,90.000000,top
"R21","43k","R_1206_3216Metric",158.650000,-98.797500,90.000000,top
"R22","270R","R_1206_3216Metric",154.400000,-100.260000,-90.000000,top
