"Reference","Value","Footprint","Datasheet","Qty","DNP","Exclude from BOM","Exclude from Board"
"C1","150nF","Capacitor_SMD:C_1206_3216Metric","~","1","","",""
"C2,C4,C5","18pF","Capacitor_SMD:C_1206_3216Metric","~","3","","",""
"C3","680pF","Capacitor_SMD:C_1206_3216Metric","~","1","","",""
"C6","6.8pF","Capacitor_SMD:C_1206_3216Metric","~","1","","",""
"C7,C13","1pF","Capacitor_SMD:C_1206_3216Metric","~","2","","",""
"C8","82pF","Capacitor_SMD:C_1206_3216Metric","~","1","","",""
"C9","220pF","Capacitor_SMD:C_1206_3216Metric","~","1","","",""
"C10","47pF","Capacitor_SMD:C_1206_3216Metric","~","1","","",""
"C11","GKG30015","footprints:GKG30015","https://media.digikey.com/pdf/Data%20Sheets/Sprague-Goodman%20PDFs/Ceramic%20Dielectric%20Trimmer%20Caps.pdf","1","","",""
"C12,C15","68pF","Capacitor_SMD:C_1206_3216Metric","~","2","","",""
"C14","100pF","Capacitor_SMD:C_1206_3216Metric","~","1","","",""
"C16","100p","Capacitor_SMD:C_1206_3216Metric","~","1","","",""
"C17,C21","1uF","Capacitor_SMD:C_1206_3216Metric","~","2","","",""
"C18,C19","10nF","Capacitor_SMD:C_1206_3216Metric","~","2","","",""
"C20,C22","2.2uF","Capacitor_SMD:C_1206_3216Metric","~","2","","",""
"C23","100nF","Capacitor_SMD:C_1206_3216Metric","~","1","","",""
"D1","BAT54CW","Package_TO_SOT_SMD:SOT-323_SC-70","https://assets.nexperia.com/documents/data-sheet/BAT54W_SER.pdf","1","","",""
"D2","LED","LED_THT:LED_D5.0mm","~","1","","",""
"H1,H2,H3,H4","MountingHole","MountingHole:MountingHole_3mm","~","4","","Excluido del BOM",""
"IC1","ADS7884SDBVT","footprints:SOT95P280X145-6N","http://www.ti.com/lit/gpn/ads7884","1","","",""
"J1","Conn_Coaxial","Connector_Coaxial:BNC_Amphenol_B6252HB-NPP3G-50_Horizontal","~","1","","",""
"J2","Conn_01x03_Pin","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","1","","",""
"R1","1.5M","Resistor_SMD:R_1206_3216Metric","~","1","","",""
"R2","39k","Resistor_SMD:R_1206_3216Metric","~","1","","",""
"R3,R8,R19","1.3M","Resistor_SMD:R_1206_3216Metric","~","3","","",""
"R4,R6","910k","Resistor_SMD:R_1206_3216Metric","~","2","","",""
"R5","590k","Resistor_SMD:R_1206_3216Metric","~","1","","",""
"R7","160k","Resistor_SMD:R_1206_3216Metric","~","1","","",""
"R9","82k","Resistor_SMD:R_1206_3216Metric","~","1","","",""
"R10","330k","Resistor_SMD:R_1206_3216Metric","~","1","","",""
"R11","1M","Resistor_SMD:R_1206_3216Metric","~","1","","",""
"R12","12k","Resistor_SMD:R_1206_3216Metric","~","1","","",""
"R13","270k","Resistor_SMD:R_1206_3216Metric","~","1","","",""
"R14","680R","Resistor_SMD:R_1206_3216Metric","~","1","","",""
"R15","3k3","Resistor_SMD:R_1206_3216Metric","~","1","","",""
"R16","0R","Resistor_SMD:R_1206_3216Metric","~","1","","",""
"R17","15k","Resistor_SMD:R_1206_3216Metric","~","1","","",""
"R18","6k8","Resistor_SMD:R_1206_3216Metric","~","1","","",""
"R20","33k","Resistor_SMD:R_1206_3216Metric","~","1","","",""
"R21","43k","Resistor_SMD:R_1206_3216Metric","~","1","","",""
"R22","270R","Resistor_SMD:R_1206_3216Metric","~","1","","",""
"S1,S2","100DP2T1B1M2QEH","footprints:100DP2T1B1M2QEH","https://configured-product-images.s3.amazonaws.com/2D/specs/100DP2T1B1M2QEH.pdf","2","","",""
"S3","SLW-2414894-6A-RA-S-D","footprints:SW_SLW-2414894-6A-RA-S-D","","1","","",""
"U1","TL082","Package_DIP:DIP-8_W7.62mm","http://www.ti.com/lit/ds/symlink/tl081.pdf","1","","",""
"U3","LM2776","Package_TO_SOT_SMD:SOT-23-6","http://www.ti.com/lit/ds/symlink/lm2776.pdf","1","","",""
"U4","ESP32-DevKitC","PCM_Espressif:ESP32-DevKitC","https://docs.espressif.com/projects/esp-idf/zh_CN/latest/esp32/hw-reference/esp32/get-started-devkitc.html","1","","",""
